,gamma_deep,sd_deep
gamma1,0.21887691618774935,0.01603630989505825
gamma2,0.5296560406748466,0.019983306506445538
gamma3,-0.29459470752193956,0.02441203457147231
gamma4,0.062265315521326796,0.019610591112206546
