,gamma_deep_mid,sd_deep_mid
gamma1,0.08942645485342342,0.020928239850120427
gamma2,0.16563733364059072,0.022528508574736542
gamma3,-0.11051565794092606,0.02520639939747587
gamma4,0.03221607593165774,0.02145981787756816
