,gamma_linear,sd_linear
gamma1,0.2509955438462463,0.027174084251915444
gamma2,0.5168770723128422,0.027957408080308135
gamma3,-0.2842323894067564,0.03608075052056268
gamma4,0.07147371242882578,0.03215922245943033
gamma_age,0.014870869894005063,0.02509296739582683
gamma_systolic,0.13104543893791154,0.026710991406240114
gamma_diastolic,-0.04999672349904614,0.03218948986575001
